title,authors_abbrev,year,venue,abstract,doi_link,filter1,filter2,filter3,filter4,filter5,info1,info2,info3
The Content of Physics Self-Explanations,Chi & VanLehn,1991,Journal of the Learning Sciences,"Several earlier studies have found the amount learned while studying worked-out examples is proportional to the number of self-explanations generated while studying examples. A self-explanation is a comment about an example statement that contains domain-relevant information over and above what was stated in the example line itself. This article analyzes the specific content of self-explanations generated by students while studying physics examples. In particular, the content is analyzed into pieces of constituent knowledge that were used in the comments. These were further analyzed in order to trace the source of knowledge from which selfexplanations could be generated. The results suggest that there are two general sources for self-explanations. The first is deduction from knowledge acquired earlier while reading the text part of the chapter, usually by simply instantiating a general principle, concept, or procedure with information in the current example statement. The second explanation is generalization and extension of the example statements. Such construction of the content of the example statements yield new general knowledge that helps complete the students' otherwise incomplete understanding of the domain principles and concepts. The relevance of this research for instruction and models of explanation-based learning is discussed.",http://www.tandfonline.com/doi/abs/10.1207/s15327809jls0101_4,[framework] Self-Explanation Theory;,[pedagogy] Example-Based Learning;,[method] Think-Aloud Protocols;,,conceptual understanding;,,,
Putting Case-Based Instruction Into Context: Examples From Legal and Medical Education,Williams,1992,Journal of the Learning Sciences,,http://www.tandfonline.com/doi/abs/10.1207/s15327809jls0204_2,[framework] Anchored Instruction Theory;[framework] Case-Based Reasoning;[framework] Cognitive Apprenticeship;,[pedagogy] Anchored Instruction;[pedagogy] Case-Based Instruction (CBI);,,,complexity;memory;metacognition;safety;,,,
Effective Tutoring Techniques: A Comparison of Human Tutors and Intelligent Tutoring Systems,Merrill et al.,1992,Journal of the Learning Sciences,"There has been much debate about instructional strategies for computerized learning environments. Many of the arguments designed to choose between the various philosophies have appealed, at least implicitly, to the behavior of effective human teachers. In this article, we compare the guidance and support offered by human tutors with that offered by intelligent tutoring systems. First, we review research on human tutoring strategies in various domains. Then we investigate the capabilities of a widely used technique for providing feedback, model tracing. Finally, we contrast the types of guidance and support provided by human tutors with those in intelligent tutoring systems, by examining the process of recovering from impasses encountered during problem solving. In general, the support offered by human tutors is more flexible and more subtle than that offered by model tracing tutors, but the two are more similar than sometimes argued.",http://www.tandfonline.com/doi/abs/10.1207/s15327809jls0203_2,[framework] Cognitive Skill Acquisition Theory;,,[method] Comparative Analysis;[method] Experimental Design;[method] Protocol Analysis;,[setting] higher education;[technology] human–computer interaction;[technology] intelligent tutoring systems;,failure;fairness;safety;,,,
A Model of the Self-Explanation Effect,VanLehn et al.,1992,Journal of the Learning Sciences,,http://www.tandfonline.com/doi/abs/10.1207/s15327809jls0201_1,[framework] Cognitive Architecture;[framework] Cognitive Skill Acquisition Theory;[framework] Skill Acquisition Theory;,,[method] Computational Modeling;[method] Experimental Design;[method] Protocol Analysis;,[technology] computational modeling;,diversity;,,,
Constraining Novices to Perform Expertlike Problem Analyses: Effects on Schema Acquisition,Dufresne et al.,1992,Journal of the Learning Sciences,,http://www.tandfonline.com/doi/abs/10.1207/s15327809jls0203_3,[framework] Cognitive Apprenticeship;[framework] Schema Theory;,,[method] Experimental Design;[method] Think-Aloud Protocols;,,praxis;safety;transfer;,,,
Design Experiments: Theoretical and Methodological Challenges in Creating Complex Interventions in Classroom Settings,Brown,1992,Journal of the Learning Sciences,,http://www.tandfonline.com/doi/abs/10.1207/s15327809jls0202_2,[framework] Design-Based Research (DBR);[framework] Situated Cognition;[framework] Social Constructivism;,[pedagogy] Design-Based Research (DBR);,[method] Design-Based Research (DBR);[method] Longitudinal Study;,[population] elementary education;[subject] science;,,,,
Studying Children's Learning in Context: Problems and Prospects,Saxe,1992,Journal of the Learning Sciences,"In this article, I present a framework for the study of children's learning in cultural practices and educational activities. The framework consists of three analytic components, each of which is grounded in a constructivist treatment of cognitive development: (a) a model for the analysis of emergent cognitive goals in practices, (b) a model for the analysis of cognitive developments linked to emergent goals, and (c) a model for the analysis of the interplay between cognitive developments linked to one practice or activity to accomplish emergent goals in another. The article describes the early history of the framework and its current application to the design and analysis of a classroom practice in the United States involving arithmetical problem solving in third and fourth grade inner-city classrooms. I close with a discussion of the framework with reference to Schoenfeld's (1992) standards for methodological innovations.",http://www.tandfonline.com/doi/abs/10.1207/s15327809jls0202_4,[framework] Cultural-Cognitive Theory;[framework] Developmental Psychology;[framework] Situated Learning;,,[method] Case Study Research;[method] Ethnography;,[population] elementary education;,transfer;,,,
Appropriating Scientific Discourse: Findings From Language Minority Classrooms,Rosebery et al.,1992,Journal of the Learning Sciences,"We report a study of the effects of a collaborative inquiry approach to science on language minority students' (middle and high school) learning. The emphasis in this approach is on involving the students, most of whom have never studied science before and some of whom have had very little schooling of any kind, in ""doing science"" in ways that practicing scientists do. The question addressed in this study is, To what extent do students appropriate scientific ways of knowing and reasoning as a result of their participation in collaborative scientific inquiry? The focus of our analysis was on changes in students' conceptual knowledge and use of hypotheses, experiments, and explanations to organize their reasoning in the context of two think aloud problems. In September the students' reasoning was nonanalytic and bound to personal experience. They responded as if they were being asked to answer questions in a reading comprehension task. In contrast, by June they reasoned in terms of a larger explanatory system, used hypotheses to organize and give direction to their reasoning, and demonstrated an awareness of the function of experimentation in producing evidence to evaluate hypotheses.",http://www.tandfonline.com/doi/abs/10.1207/s15327809jls0201_2,[framework] Sociocultural Theory;[framework] Vygotskian Theory;,,[method] Discourse Analysis;,[setting] language minority classrooms;[subject] science;,epistemology;equity;mastery orientation;participation;,,,
Learning Mathematics From Classroom Instruction: On Relating Lessons to Pupils' Interpretations,Fernandez et al.,1992,Journal of the Learning Sciences,,http://www.tandfonline.com/doi/abs/10.1207/s15327809jls0204_1,[framework] Constructivism;[framework] Situated Learning;[framework] Socio-Cognitive Theory;,,[method] Participant Observation;[method] Constructivism (Research Paradigm);[method] Discourse Analysis;,[setting] elementary classrooms;[subject] mathematics;,mastery orientation;,,,
ASK Systems: An Approach to the Realization of Story-Based Teachers,Ferguson et al.,1992,Journal of the Learning Sciences,,http://www.tandfonline.com/doi/abs/10.1207/s15327809jls0201_3,[framework] Case-Based Reasoning;[framework] Cognitive Modeling;,[pedagogy] Case-Based Reasoning;,,[technology] computer-based instruction;[technology] hypermedia;[technology] intelligent tutoring systems;[technology] online forums;,knowledge;narrative;,,,
Research Methods in and for the Learning Sciences,Schoenfeld,1992,Journal of the Learning Sciences,,http://www.tandfonline.com/doi/abs/10.1207/s15327809jls0202_1,[framework] Cognitive Theory;,,[method] COMMENTARY;,,relationship;,,,
On Paradigms and Methods: What Do You Do When the Ones You Know Don't Do What You Want Them To? issues in the Analysis of Data in the Form of Videotapes,Schoenfeld,1992,Journal of the Learning Sciences,"This article examines a range of issues related to the development of nonstandard methods for the analysis of videotapes of problem-solving sessions. It proposes some rather stringent standards for novel methods, standards concerned with issues of validity, reliability, and the communication of methods and data. The discussion is illustrated by the detailed examination of two case studies that employ two different grain sizes of analysis—the first macroscopic, the second microscopic. In the light of those case studies, theoretical issues regarding the relationships among theory-based, method-based, and problem-based approaches to programmatic research in the learning sciences are considered.",http://www.tandfonline.com/doi/abs/10.1207/s15327809jls0202_3,[framework] Cognitive Theory;,,[method] Case Study Research;[method] Video Analysis;,[subject] mathematics;,memory;metacognition;relationship;,,,
Misconceptions Reconceived: A Constructivist Analysis of Knowledge in Transition,Smith III et al.,1994,Journal of the Learning Sciences,"This article uses a critical evaluation of research on student misconceptions in science and mathematics to articulate a constructivist view of learning in which student conceptions play productive roles in the acquisition of expertise. We acknowledge and build on the empirical results of misconceptions research but question accompanying views of the character, origins, and growth of students' conceptions. Students have often been viewed as holding flawed ideas that are strongly held, that interfere with learning, and that instruction must confront and replace. We argue that this view overemphasizes the discontinuity between students and expert scientists and mathematicians, making the acquisition of expertise difficult to conceptualize. It also conflicts with the basic premise of constructivism: that students build more advanced knowledge from prior understandings. Using case analyses, we dispute some commonly cited dimensions of discontinuity and identify important continuities that were previously ignored or underemphasized. We highlight elements of knowledge that serve both novices and experts, albeit in different contexts and under different conditions. We provide an initial sketch of a constructivist theory of learning that interprets students' prior conceptions as resources for cognitive growth within a complex systems view of knowledge. This theoretical perspective aims to characterize the interrelationships among diverse knowledge elements rather than identify particular flawed conceptions; it emphasizes knowledge refinement and reorganization, rather than replacement, as primary metaphors for learning; and it provides a framework for understanding misconceptions as both flawed and productive.",http://www.tandfonline.com/doi/abs/10.1207/s15327809jls0302_1,[framework] Conceptual Ecology;[framework] Constructivism;[framework] Knowledge in Pieces;,,[method] Case Study Research;[method] Constructivism (Research Paradigm);[method] Discourse Analysis;[method] Coding and Categorization;,[subject] science;,conceptual understanding;,,,
Positives About Negatives: A Case Study of an Intermediate Model for Signed Numbers,Schwarz et al.,1994,Journal of the Learning Sciences,"In this article, we present a study using an intermediate abstraction as a model for the acquisition of the concept of negative numbers. The intermediate abstraction is a computerized environment based on a detailed epistemological analysis of negative numbers. Four children participated in activities with the intermediate abstraction during eleven 30-min training sessions. This article outlines the development of the children's representations of negative numbers during the experiment. We analyzed how students used their representations as problem models in transfer tasks with several different referents. The results obtained in the experiment support the use of certain environments for the acquisition of higher level mathematical concepts that cannot be learned informally.",http://www.tandfonline.com/doi/abs/10.1207/s15327809jls0301_2,[framework] Constructivism;,,[method] Case Study Research;[method] Constructivism (Research Paradigm);,[population] middle school;[subject] mathematics;,conceptual understanding;,,,
Goal-Based Scenarios: A Radical Look at Education,Schank,1994,Journal of the Learning Sciences,,http://www.tandfonline.com/doi/abs/10.1207/s15327809jls0304_5,[framework] Constructivism;,[pedagogy] Experiential Learning;[pedagogy] Goal-Based Scenarios (GBS);,,,motivation;,,,
Using Technology to Assist in Realizing Effective Learning and Instruction: A Principled Approach to the Use of Computers in Collaborative Learning,Koschmann et al.,1994,Journal of the Learning Sciences,"This article describes a principled approach to the design of computer-based tools for use in collaborative instruction. We argue that a project should progress through four steps: (a) making explicit the instructional requirements that serve as design goals for the project; (b) performing a detailed study of current educational practice with regard to these goals; (c) developing a specification based on the identified requirements/limitations of the instructional setting and the known capabilities of the technology; and (d) producing an implementation that allows for local adaptation to instructional practice. We propose six principles of effective learning and instruction, which we view to be the critical features of learning in complex and ill-structured fields. Next, a detailed case study is presented based on the preclinical training given to medical students in the first 2 years of medical school. The problems of providing adequate instruction in the preclinical years are described, as is an instructional method known as problem-based learning (PBL) that has been introduced to redress some of these problems. The product of this design process is a set of specifications for technical augmentations that we believe will serve not only the needs of PBL but also those of other methods of instruction that depend on collaborative, case-based, or student-centered learning.",http://www.tandfonline.com/doi/abs/10.1207/s15327809jls0303_2,[framework] Cognitive Apprenticeship;[framework] Situated Learning;,[pedagogy] Computer-Supported Learning Environments;,[method] Design-Based Research (DBR);,[technology] computer-supported learning;,,,,
Computer Support for Knowledge-Building Communities,Scardamalia & Bereiter,1994,Journal of the Learning Sciences,"In this article we focus on educational ideas and enabling technology for knowledge-building discourse. The conceptual bases of computer-supported intentional learning environments (CSILE) come from research on intentional learning, process aspects of expertise, and discourse in knowledge-building communities. These bases combine to support the following propositions: Schools need to be restructured as communities in which the construction of knowledge is supported as a collective goal, and the role of educational technology should be to replace classroom discourse patterns with those having more immediate and natural extensions to knowledge-building communities outside school walls. CSILE is described as a means for refraining classroom discourse to support knowledge building in ways extensible to out-of-school knowledgeadvancing enterprises. Some of the most fundamental problems are logistic, and it is in solving these logistic problems that we see the greatest potential for educational technology.",http://www.tandfonline.com/doi/abs/10.1207/s15327809jls0303_3,[framework] Design-Based Research (DBR);[framework] Epistemic Agency;[framework] Knowledge Building (KB);,[pedagogy] Collaborative Learning;[pedagogy] Computer-Supported Learning Environments;[pedagogy] Design-Based Research (DBR);,[method] Design-Based Research (DBR);[method] Discourse Analysis;,[population] elementary education;[technology] computer-supported learning;,collaboration;epistemic agency;,,,
An Investigation of Problem Framing and Solving in a Grade 8 Open-Inquiry Science Program,Roth & Bowen,1994,Journal of the Learning Sciences,"This study of learning in a Grade 8 open-inquiry science classroom focuses on the situated nature of students' problem framing and solving as they engaged in field research and the solving of contextual word problems, which we constructed from the students' own inquiries. The data sources included videotaped lessons, audiotaped interviews, and teacher-student interactions, and the artifacts constructed by students and teacher-researchers in the course of the study. Our analyses document and discuss the enormous work done by students in constructing research problems and resolving these problems through engaging in field research. During field research, many local problems emerged, which students learned to resolve interactionally with their peers and the settings. The students' framing of problems for research and work in the field setting stood in sharp contrast to their work on teacher-constructed, contextual word problems. These differences led us to a critical analysis of traditional word problems. The students' achievements in each of these situations emerged out of their interactions within a classroom community that encouraged independence, collaboration, and negotiation of meaning, and with the physical setting. Students' achievements and learning were meaningful because they were indexed to, and situated in, the setting of the students' experience.",http://www.tandfonline.com/doi/abs/10.1207/s15327809jls0302_2,[framework] Distributed Cognition;[framework] Situated Cognition;,[pedagogy] Collaborative Learning;[pedagogy] Inquiry-Based Learning (IBL);,[method] Discourse Analysis;,[population] middle school;[subject] science;,disruption;agency;,,,
Learning 'How' Versus Learning 'When': Improving Transfer of Problem-Solving Principles,VanderStoep & Seifert,1994,Journal of the Learning Sciences,"How can problem solving be improved in domains where similar principles are learned? Aseries of three experimentsbased on Ross (1987) examinedhow instructing learners about when to apply problem-solving principles may later improve performance. In Experiment 1, subjects studied a similar pair (combinations and permutations)or a distinct pair (ambinations and conditionalprobability)of probability principles. Half of the subjects received information on when to apply the principles (applicability-instructions condition), whereas other subjects received instructionsthat reviewed how to solve problems using the principles (procedural-review condition). Subjects who received applicabilityinstructionsmade fewer confusion errors than subjects who received procedural-review instructionswhen learning the similar problem pair. However, this instructionalmanipulation had no effect when subjects were learning the distinct problem pair. Because applicability instructions affect confusion errors but not ovemll performance, they may improve the ability to identify when to apply a procedurebut may not improve memory for the formula or the ability to instantiate it. Experiment 2 supported this notion by showing that subjects given applicability instructions did better at selecting when to use each formula. Experiment 3 tested whethergivinglearnersthe pairs of examples to review together afforded them the opportunity to learn the applicability conditions on their own. The results showed that the important differencesbetween the principles (is., why the formulas apply in certain situations) must be identified in the instructional material because subjects were not likely to induce the differenceson their own. The results showed that when differencesbetween the related principles are identified in instructional material (is., why the formula applies in certain problems), these applicability instructionsmay serve to reduce confusionin noticing and selecting the relevant principle.",http://www.tandfonline.com/doi/abs/10.1207/s15327809jls0301_3,[framework] Cognitive Skill Acquisition Theory;,,[method] Experimental Design;,,,,,
Sickle Cell Counselor: A Prototype Goal-Based Scenario for Instruction in a Museum Environment,Bell et al.,1994,Journal of the Learning Sciences,,http://www.tandfonline.com/doi/abs/10.1207/s15327809jls0304_3,[framework] Anchored Instruction Theory;[framework] Apprenticeship Learning;,[pedagogy] Anchored Instruction;[pedagogy] Goal-Based Scenarios (GBS);,,[setting] informal learning;[setting] museums;[technology] simulations;,ethical reasoning;interaction;,,,
Constructing Learning Environments for Complex Social Skills,Kass et al.,1994,Journal of the Learning Sciences,"This article addresses issues faced in the construction of computer programs that teach complex social skills. We describe a software architecture called Guided Social Simulation (GuSS). GuSS combines a simulation in which students can practice social skills with guidance that enhances the simulated experience. One of the applications of GuSS, called YELLO, teaches how to sell Yellow Pages advertising. YELLO is described in detail. The social simulation and guidance components of GuSS each present a set of technical and theoretical challenges. We discuss both sets. In discussing the techniques we use for constructing a social simulation, we emphasize the mechanisms that implement social agents as simple social planners. We then focus on one particular guidance component of GuSS—the storyteller. The storyteller is a teaching module that contains the real-life stories of experienced practitioners captured on videodisk. The storyteller monitors the student's actions in the simulation and interjects stories that are relevant to the student's experience.",http://www.tandfonline.com/doi/abs/10.1207/s15327809jls0304_4,[framework] Case-Based Reasoning;[framework] Situated Learning;,[pedagogy] Case-Based Learning (CBL);,,[technology] computer-based instruction;[technology] online forums;[technology] robotics;,narrative;,,,
The Design of Goal-Based Scenarios,Schank et al.,1994,Journal of the Learning Sciences,"Outside school, people typically learn during their experiences while addressing desired goals. The Goal-Based Scenario (GBS) framework describes computer-based learning environments that exploit this simple fact. In this article, we propose a structure and a set of design criteria for learn-by-doing environments that enable students to work towards desired goals. A key issue we address is the content to be taught by GBSs. Because skills are the form of knowledge that, when applied, enable students to achieve valued goals, we argue that GBSs should be designed to teach a set of target skills required to achieve a specified goal. Two programs we built prior to specifying GBSs but motivated by many of the same ideas will be analyzed according to the proposed principles. We conclude by briefly describing tools currently under development to facilitate the construction of GBSs.",http://www.tandfonline.com/doi/abs/10.1207/s15327809jls0304_2,[framework] Case-Based Reasoning;[framework] Situated Learning;,[pedagogy] Case-Based Reasoning;[pedagogy] Experiential Learning;,,[technology] computer-based instruction;[technology] hypermedia;[technology] robotics;,,,,
Toward a Theory of Computer Support for Collaborative Learning,Koschmann,1994,Journal of the Learning Sciences,,http://www.tandfonline.com/doi/abs/10.1207/s15327809jls0303_1,[framework] Distributed Cognition;[framework] Social Constructivism;,[pedagogy] Collaborative Learning;,,,collaboration;coordination;disruption;agency;,,,
Three Different Views of Students: The Role of Technology in Assessing Student Performance,Collins et al.,1994,Journal of the Learning Sciences,,http://www.tandfonline.com/doi/abs/10.1207/s15327809jls0302_3,[framework] Cognitive Apprenticeship;[framework] Conceptual Framework;[framework] Constructivism;,,[method] Constructivism (Research Paradigm);[method] Video Analysis;,,,,,
Biology Diagrams: Tools to Think With,Kindfield,1994,Journal of the Learning Sciences,"In an effort to characterize critical components of conceptual understanding in the domain of biology, particularly those that may be important to the design of biology instruction, I have been conducting research on individuals' understanding of and reasoning about subcellular biological processes. In this article I report the results of videotaped individual think-aloud interview sessions with is participants who varied in their degree of formal training in genetics that focused on the spontaneous generation and use of domain-specific diagrams during reasoning about the process of meiosis. The more advanced of the 15 participants displayed knowledge-dependent representational variability, fine-tuned their diagrams to the immediate reasoning task, and systematically used their fine-tuned diagrams as ""tools to think with"" while reasoning. These results suggest that more advanced pictorial skills and conceptual knowledge coevolve or mutually influence one another in the development of understanding of a subcellular biological process. Major implications of this research arc twofold. With regard to biology education, the results support and provide guidelines for the design of instruction that explicitly deals with the development of currently neglected pictorial skills. In a broader scope, these results provide a detailed empirical account of the role played by diagrams in scientific reasoning.",http://www.tandfonline.com/doi/abs/10.1207/s15327809jls0301_1,[framework] Cognitive Task Analysis;,,[method] Cognitive Task Analysis;[method] Interview Methods;[method] Video Analysis;,[setting] higher education;[subject] biology;[technology] data visualization tools;[technology] virtual laboratories;,conceptual understanding;,,,
Students' Understanding of the Objectives and Procedures of Experimentation in the Science Classroom,Schauble et al.,1995,Journal of the Learning Sciences,"As part of a project to identify opportunities for reasoning that occur in good but typical science classrooms, this study focuses on how sixth graders reason about the goals and strategies of experimentation and laboratory activities in school. Collaborating with teachers, we explore whether reasoning can be deepened by developing instruction that capitalizes more effectively on the classroom opportunities that arise for fostering complex thinking and understanding. The design of the study includes (a) a baseline interview probing students' understanding of experimentation in the context of a standard, 40-min ""hands-on"" activity that is part of the standard sixth-grade curriculum; (b) a 3-week teaching study, in which five teachers, informed by the cognitive science research concerning the development of scientific reasoning, designed and taught a special experimentation unit in their classrooms; and (c) a series of follow-up interviews, in which students' understanding of experimentation was reexamined. The findings from the two learning contexts-one more supportive of student reasoning than the other-inform us about the kinds of reasoning that are developing in middle-school students and the forms of instruction best suited to exercising those developing skills.",http://www.tandfonline.com/doi/abs/10.1207/s15327809jls0402_1,[framework] Developmental Psychology;,[pedagogy] Inquiry-Based Learning (IBL);,[method] Discourse Analysis;[method] Hypothesis Testing;[method] Longitudinal Study;,[population] elementary education;[setting] science classrooms;,epistemic justice;scaffolding;,,,
